Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,bothKeywords,Correspondence Address,Editors,Publisher Address,Conference name,Conference location,Conference date,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,Subject,EID,duplicatedIn,country,emailHost,institution,institutionWithCountry,authorFull
"Tansey, W., Tilevich, E.",Annotation Refactoring: Inferring Upgrade Transformations for Legacy Applications,2008,ACM SIGPLAN NOTICES,43,10,,295,311,17,7,10.1145/1449955.1449788,,"[Tansey, Wesley; Tilevich, Eli] Virginia Tech, Dept Comp Sci, Blacksburg, VA 24061 USA",,"Since annotations were added to the Java language, many frameworks have moved to using annotated Plain Old Java Objects (POJOs) in their newest releases. Legacy applications are thus forced to undergo extensive restructuring in order to migrate from old framework versions to new versions based on annotations (Version Lock-in). Additionally, because annotations are embedded in the application code, changing between framework vendors may also entail large-scale manual changes (Vendor Lock-in). This paper presents a novel refactoring approach that effectively solves these two problems. Our approach infers a concise set of semantics-preserving transformation rules from two versions of a single class. Unlike prior approaches that detect only simple structural refactorings, our algorithm can infer general composite refactorings and is more than 97% accurate on average. We demonstrate the effectiveness of our approach by automatically upgrading more than 80K lines of the unit testing code of four open-source Java applications to use the latest version of the popular JUnit testing framework.",Languages; Experimentation; Refactoring; Upgrading; Frameworks; Meta-data; Java; Annotations; Eclipse; JUnit,MODELS; TOOL,Languages;Experimentation;Refactoring;Upgrading;Frameworks;Meta-data;Java;Annotations;Eclipse;JUnit;MODELS;TOOL,tansey@cs.vt.edu; tilevich@cs.vt.edu,,"2 PENN PLAZA, STE 701, NEW YORK, NY 10121-0701 USA",,,,ASSOC COMPUTING MACHINERY,0362-1340,,,,English,ACM SIGPLAN NOTICES,Article,WoS,Computer Science,WOS:000262035900018,WOS:000266036500018,United States,cs.vt.edu,Virginia Tech,"Virginia Tech, United States","Tansey, Wesley; Tilevich, Eli"
"Dotzler G., Veldema R., Philippsen M.",Annotation support for generic patches,2012,"2012 3rd International Workshop on Recommendation Systems for Software Engineering, RSSE 2012 - Proceedings",,, 6233400,6,10,,2,10.1109/RSSE.2012.6233400,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864682962&doi=10.1109%2fRSSE.2012.6233400&partnerID=40&md5=6b12a61e2f7a1ad915eef83ffe41fcae,"University of Erlangen-Nuremberg, Computer Science Department, Programming Systems Group, Erlangen, Germany","Dotzler, G., University of Erlangen-Nuremberg, Computer Science Department, Programming Systems Group, Erlangen, Germany; Veldema, R., University of Erlangen-Nuremberg, Computer Science Department, Programming Systems Group, Erlangen, Germany; Philippsen, M., University of Erlangen-Nuremberg, Computer Science Department, Programming Systems Group, Erlangen, Germany","In large projects parallelization of existing programs or refactoring of source code is time consuming as well as error-prone and would benefit from tool support. However, existing automatic transformation systems are not extensively used because they either require tedious definitions of source code transformations or they lack general adaptability. In our approach, a programmer changes code inside a project, resulting in before and after source code versions. The difference (the generated transformation) is stored in a database. When presented with some arbitrary code, our tool mines the database to determine which of the generalized transformations possibly apply. Our system is different from a pure compiler based (semantics preserving) approach as we only suggest code modifications. Our contribution is a set of generalizing annotations that we have found by analyzing recurring patterns in open source projects. We show the usability of our system and the annotations by finding matches and applying generated transformations in real-world applications. © 2012 IEEE.",code-refactoring; optimizations; patches; programming tools,Annotation support; Automatic transformations; Code modifications; code-refactoring; Error prones; Generalized transformation; Large project; Open source projects; Parallelizations; patches; Programming tools; Real-world application; Refactorings; Source code transformation; Source codes; Tool support; Cosine transforms; Optimization; Program compilers; Recommender systems; Semantics; Software engineering; Computer programming languages,code-refactoring;optimizations;patches;programming tools;Annotation support;Automatic transformations;Code modifications;Error prones;Generalized transformation;Large project;Open source projects;Parallelizations;Real-world application;Refactorings;Source code transformation;Source codes;Tool support;Cosine transforms;Optimization;Program compilers;Recommender systems;Semantics;Software engineering;Computer programming languages,"Dotzler, G.; University of Erlangen-Nuremberg, Computer Science Department, Programming Systems Group, Erlangen, Germany; email: georg.dotzler@cs.fau.de",,,,,,,,9781467317597,,,English,"Int. Workshop Recomm. Syst. Softw. Eng., RSSE - Proc.",Conference Paper,Scopus,,2-s2.0-84864682962,,Germany,cs.fau.de,,,"Dotzler G., Veldema R., Philippsen M."
"Cheng Y.P., Liao J.R.",An ontology-based taxonomy of bad code smells,2007,"Proceedings of the 3rd IASTED International Conference on Advances in Computer Science and Technology, ACST 2007",,,,437,442,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56149105523&partnerID=40&md5=40ed8d5df7be59d83eabdd143b79cfea,"Department of Computer Science and Information Engineering, National Taiwan Normal University, Taipei City, Taiwan; Department of Information and Computer Education, National Taiwan Normal University, Taipei City, Taiwan","Cheng, Y.-P., Department of Computer Science and Information Engineering, National Taiwan Normal University, Taipei City, Taiwan; Liao, J.-R., Department of Information and Computer Education, National Taiwan Normal University, Taipei City, Taiwan","""Bad code smell"" or ""spaghetti code"" is a jargon used among programmers to refer to source code that is diffi-cult to maintain, evolve, and change. We consider them as symptoms of poor software engineering practice. This paper presents an application of concept of ontology to develop a bad code smell taxonomy. We develop a taxonomy hierarchy which categorizes bad code smells from the viewpoints of refactoring. A more formal format is introduced to define the bad code smells more concretely. Besides, the relations among bad code smells, called semantic relations in ontology terms, are explored and established. The ontology can be used for reasoning in other applications.",Bad code smells; Ontology; Refactoring; Taxonomy,Codes (symbols); Computer science; Computers; Information theory; Odors; Software engineering; Taxonomies; Bad code smells; Other applications; Refactoring; Semantic relations; Software engineering practices; Source codes; Spaghetti codes; Ontology,Bad code smells;Ontology;Refactoring;Taxonomy;Codes (symbols);Computer science;Computers;Information theory;Odors;Software engineering;Taxonomies;Other applications;Semantic relations;Software engineering practices;Source codes;Spaghetti codes,"Cheng, Y.-P.; Department of Computer Science and Information Engineering, National Taiwan Normal University, Taipei City, Taiwan; email: ypc@csie.ntnu.edu.tw",,,,,,,,9780889866560,,,English,"Proc. IASTED Int. Conf. Adv. Comp. Sci. Technol., ACST",Conference Paper,Scopus,,2-s2.0-56149105523,,Taiwan,csie.ntnu.edu.tw,,,"Cheng Y.-P., Liao J.-R."
"Garzas, J., Piattini, M.",An ontology for understanding and applying object-oriented design knowledge,2007,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,17,3,,407,421,15,1,10.1142/S0218194007003318,,"Univ Castilla La Mancha, Escuela Super Informat, Ciudad Real 13071, Spain",,"After years of experience in object-oriented design, software engineers have accumulated a great deal of knowledge in the design and construction of object-oriented systems: important contribution to this field including principles, heuristics, lessons learned, bad smells, refactorings, and so on, with the resultant major improvements in software development. However, this large body of knowledge is still not well organized, its terminology is ambiguous, and it is very difficult to make practical use of the contributions made. In this regard, we believe it is important to define an ontology in order to structure and unify design knowledge, since a good understanding of the experience derived from practical work is critical for software engineers. This ontology could be used to improve communication between software engineers, inter-operability among designs, design re-usability, design knowledge searching and specification, software maintenance, knowledge acquistion, etc. In the ontology we incorporate knowledge specific to both domain and technology. such an organized body of knowledge could also be used for registering and documenting design rationale issues.",ontology; design knowledge; patterns; principles; heuristic; refactoring,,ontology;design knowledge;patterns;principles;heuristic;refactoring,javier.garzas@kybeleconsulting.com; Mario.Piattini@uclm.es,,"5 TOH TUCK LINK, SINGAPORE 596224, SINGAPORE",,,,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-1940,,,,English,INT J SOFTW ENG KNOW,Article,WoS,Computer Science; Engineering,WOS:000251175700006,2-s2.0-34547420138,Spain,kybeleconsulting.com,Escuela Super Informat,"Escuela Super Informat, Spain","Garzas, Javier; Piattini, Mario"
"Heder M., Laszlo Z., Sulyan T.",Another neat tool for refactoring Erlang programs,2007,"Proceedings of the 11th IASTED International Conference on Software Engineering and Applications, SEA 2007",,,,336,341,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959040849&partnerID=40&md5=b250dc213d3d0d5971d84b267e687b7f,"Budapest University of Technology and Economics, Magyar tudósok krt. 2, Budapest, H-1117, Hungary","Héder, M., Budapest University of Technology and Economics, Magyar tudósok krt. 2, Budapest, H-1117, Hungary; László, Z., Budapest University of Technology and Economics, Magyar tudósok krt. 2, Budapest, H-1117, Hungary; Sulyán, T., Budapest University of Technology and Economics, Magyar tudósok krt. 2, Budapest, H-1117, Hungary","Refactoring is a program transformation aiming to improve the quality characteristics of the code (such as consistency, maintainability, transparency, execution time) while strictly preserving its functionality. Since functional programming languages, such as Erlang, are gaining more and more territory in this field of technology it is a highly significant and current task to develop a refactoring tool for this language. The present paper describes the elaboration of an Erlang refactoring tool where developers were striving to employ already existing (off-the-shelf) components and technologies. Refactoring cannot be performed without creating the model of the source code. Authors modeled the source code with an extended syntax tree represented in XML. Using XML as representation offers various tools available for transforming and visualizing the model. In the present article authors introduce the prototype version of the proposed refactoring tool and describe it in more details while solving a specific refactoring problem.",Erlang; Functional programming; Program transformation; Refactoring,Application programs; Codes (symbols); Computational linguistics; Computer programming; Software engineering; Trees (mathematics); XML; Erlang; Erlang programs; Program transformations; Prototype versions; Quality characteristic; Refactoring tools; Refactorings; Source codes; Functional programming,Erlang;Functional programming;Program transformation;Refactoring;Application programs;Codes (symbols);Computational linguistics;Computer programming;Software engineering;Trees (mathematics);XML;Erlang programs;Program transformations;Prototype versions;Quality characteristic;Refactoring tools;Refactorings;Source codes,,,,,,,ACTA Press,,9780889867055,,,English,"Proc. IASTED Int. Conf. Softw. Eng. Appl., SEA",Conference Paper,Scopus,,2-s2.0-84959040849,,Hungary,No email,,,"Heder M., Laszlo Z., Sulyan T."
"Abdelaziz T.M., Elghadhafi H.A., Maatuk A.M.",A novel approach for improving the quality of software code using reverse engineering,2018,ACM International Conference Proceeding Series,,, 31,,,,0,10.1145/3234698.3234729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052522941&doi=10.1145%2f3234698.3234729&partnerID=40&md5=50038b7f5f7606eecf913864a78b8677,"Faculty of Information Technology, Benghazi University, Libyan Arab Jamahiriya","Abdelaziz, T.M., Faculty of Information Technology, Benghazi University, Libyan Arab Jamahiriya; Elghadhafi, H.A., Faculty of Information Technology, Benghazi University, Libyan Arab Jamahiriya; Maatuk, A.M., Faculty of Information Technology, Benghazi University, Libyan Arab Jamahiriya","Copying and pasting program code fragments with minor changes is a common practice in software development. Software systems often have similar segments of code, called code clones. Due to many reasons, unintentional smells may also appear in the source code without awareness of program developers. Code smell may violate the principles of software design and negatively impact program design quality, thus making software development and maintenance very costly. This paper presents an enhanced approach to facilitate the process of identification and elimination of code smells. The proposed solution allows the detection and removal of code smells for refinement and improvement of the quality of software system. Code smells are analyzed, restructured and eliminated from the source code using reverse engineering techniques. The solution maintains the external behaviour of software system and judges the efficiency of systems code. An experiment has been conducted using a real software system, which is evaluated before and after using the approach. The results have been encouraging and help in detecting code smells. © 2018 Association for Computing Machinery.",Code clone; Code refactoring; Code smells; Smells detection,Cloning; Codes (symbols); Computer software; Odors; Reverse engineering; Code clone; Code re-factoring; Code smell; Common practices; Program developers; Quality of softwares; Reverse engineering techniques; Software development and maintenances; Software design,Code clone;Code refactoring;Code smells;Smells detection;Cloning;Codes (symbols);Computer software;Odors;Reverse engineering;Code re-factoring;Code smell;Common practices;Program developers;Quality of softwares;Reverse engineering techniques;Software development and maintenances;Software design,,,,,,,Association for Computing Machinery,,9781450363921,,,English,ACM Int. Conf. Proc. Ser.,Conference Paper,Scopus,,2-s2.0-85052522941,,Libyan Arab Jamahiriya,No email,,,"Abdelaziz T.M., Elghadhafi H.A., Maatuk A.M."
"Bouktif, S., Antoniol, G., Merlo, E., Neteler, M.",A novel approach to optimize clone refactoring activity,2006,"GECCO 2006: GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE, VOL 1 AND 2",,,,1885,1892,8,22,,,"Ecole Polytech, Dept Genie Informat, Montreal, PQ H3C 3A7, Canada",,"Achieving a high quality and cost-effective tests is a major concern for software buyers and sellers. Using tools and integrating techniques to carry out low cost testing are challenging topics for the testing community. In this work we contribute to alleviate the burden by proposing an architecture support for mutation and coverage criteria based testing. This architecture integrates metaheuristics to derivate effective test sets and uses automated tools to speed up testing activities. In this paper, we describe different components of the testing architecture. We focus on the developed tools performing mutation testing for JAVA code at method-level and the coverage-based testing for C code at function-level. The integration of metaheuristics in these tools is illustrated by using ant colony and tabu search to derive optimal and pruned test sets. By using our testing architecture two cases study to carry out tests respectively for JAVA methods and C-functions are presented and discussed.",genetic algorithms; multi-objective optimization; software quality improvement; refactoring effort; evolution modeling; effort prediction,SOFTWARE; PROJECT,genetic algorithms;multi-objective optimization;software quality improvement;refactoring effort;evolution modeling;effort prediction;SOFTWARE;PROJECT,salah.bouktif@polymtl.ca; ettore.merlo@polymtl.ca; neteler@itc.it,"Keijzer, M","1515 BROADWAY, NEW YORK, NY 10036-9998 USA",8th Annual Genetic and Evolutionary Computation Conference,"Seattle, WA","JUL 08-12, 2006",ASSOC COMPUTING MACHINERY,,978-1-59593-186-3,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000249917300286,,Canada,polymtl.ca,Dept Genie Informat,"Dept Genie Informat, Canada","Bouktif, Salah; Antoniol, Giuliano; Merlo, Ettore; Neteler, Markus"
"Adnan, M., Afzal, M.",A Novel Approach to Super Quality Software Development using Workflows,2016,"2016 IEEE 7TH ANNUAL UBIQUITOUS COMPUTING, ELECTRONICS MOBILE COMMUNICATION CONFERENCE (UEMCON)",,,,,,3,0,,,"[Adnan, Muhammad; Afzal, Muhammad] UET Lahore, Dept Comp Sci & Engn, Lahore, Pakistan",,"This paper proposes a novel approach to develop super quality software(s) using workflows that improves the software code quality by reducing occurrence of software maintenance problems to minimum. It motivates the software development companies to use a static code analysis tool with our proposed modifications. Therefore, the static code analysis (SCA) exposes critical areas at early stages to be comprehensively tracked and fixed in less time and effort to improve the software quality significantly. The improved SCA presents quantitative listing of detected code smells of implemented workflows with activities, suggested refactoring methods to eliminate the identified code smells and their criticality ratios.",Workflow Foundation; Static Code Analysis; Software Quality; Code Refactoring,,Workflow Foundation;Static Code Analysis;Software Quality;Code Refactoring,adnan4any@hotmail.com; shmafzal@yahoo.com,"Chakrabarti, S; Saha, HN","345 E 47TH ST, NEW YORK, NY 10017 USA","7th IEEE Annual Ubiquitous Computing, Electronics and Mobile Communication Conference (IEEE UEMCON)","New York, NY","OCT 20-22, 2016",IEEE,,978-1-5090-1496-5,,,English,,Proceedings Paper,WoS,Computer Science; Telecommunications,WOS:000390536700057,2-s2.0-85010369887,Pakistan,hotmail.com,UET Lahore,"UET Lahore, Pakistan","Adnan, Muhammad; Afzal, Muhammad"
"Pirzadeh, H., Shanian, S., Davari, F.",A Novel Framework for Creating User Interface Level Tests Resistant to Refactoring of Web Applications,2014,2014 9th International Conference on the Quality of Information and Communications Technology (QUATIC),,,,268,273,6,0,10.1109/QUATIC.2014.43,,"[Pirzadeh, Heidar; Davari, Farzin] Hybris Canada, SAP SE, Montreal, PQ, Canada; [Shanian, Sara] Univ Laval, Dept Informat, Quebec City, PQ, Canada",,"Developing user interfaces is an important part of software development process for web-applications. Frequent and small changes are inevitable in the process of developing and refactoring a user interface (UI) to improve user experience while preserving the functionality. Those changes however have been shown to easily break a majority of automated UI-level tests. Maintaining and fixing those test cases then increases the overall cost of development and decreases the benefit of test automation. In this paper, we propose a new test framework for identifying and locating the elements of the UI in a way that cannot be impacted by small UI changes. Our approach is inspired by the way human interact with the UIs of web applications and how such interactions are described and communicated in natural language to others. Our framework could significantly reduce the cost of test maintenance by enabling software engineers create UI-level tests that are naturally resistant to UI changes.",Automation; User Interface Level Test; Web Application; Quality,INFORMATION-SEEKING; SEARCH; CONTEXT,Automation;User Interface Level Test;Web Application;Quality;INFORMATION-SEEKING;SEARCH;CONTEXT,pirzadeh@acm.org; sara.shanian@ift.ulaval.ca; farzin.davari@sap.com,,"345 E 47TH ST, NEW YORK, NY 10017 USA",9th International Conference on the Quality of Information and Communications Technology (QUATIC),"Univ Minho, Guimaraes, PORTUGAL","SEP 23-26, 2014",IEEE,,978-1-4799-6133-7,,,English,,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000364237700038,2-s2.0-84921025462,Canada,acm.org,Hybris Canada;Univ Laval,"Hybris Canada, Canada;Univ Laval, Canada","Pirzadeh, Heidar; Shanian, Sara; Davari, Farzin"
"De Ruvo, G., Santone, A.",A Novel Methodology Based on Formal Methods for Analysis and Verification of Wikis,2014,2014 IEEE 23RD INTERNATIONAL WETICE CONFERENCE (WETICE),,,,411,416,6,3,10.1109/WETICE.2014.25,,"[De Ruvo, Giuseppe; Santone, Antonella] Univ Sannio, Dept Engn, Benevento, Italy",,"A wiki is a collaborative Web site whose content can be edited by anyone who has access to it. Wikis are becoming a new work tool in enterprises and are widely spreading everywhere. In fact, they are often used as internal documentation for various in-house systems and applications. Understanding and maintaining the structure of a wiki may be a crucial aspect. As well as software grows, decays and needs refactoring, the organic growth of a wiki inevitably leads to its degradation. We propose a novel methodology based on formal methods to analyse and verify the architecture of wikis. Formal verification helps to perform refactoring. Each wiki category, a set of wiki pages, is modelled using the Calculus of Communicating Systems (CCS) process algebra in order to verify specific properties. First experiments conducted on a adequate number of categories of Wikipedia, assess the validity of our methodology revealing new",Wiki; Temporal Logic; CCS Process Algebra; Refactoring,,Wiki;Temporal Logic;CCS Process Algebra;Refactoring,gderuvo@unisannio.it; santone@unisannio.it,"Reddy, SM","345 E 47TH ST, NEW YORK, NY 10017 USA","23rd IEEE International Conference on Enabling Technologies, Infrastructure for Collaborative Enterprises (WETICE)","Parma, ITALY","JUN 23-25, 2014",IEEE,,978-1-4799-4249-7,,,English,,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000352498700080,2-s2.0-84908433135,Italy,unisannio.it,Univ Sannio,"Univ Sannio, Italy","De Ruvo, Giuseppe; Santone, Antonella"
"Caspersen M.E., Kolling M.",A novice's process of object-oriented programming,2006,"Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA",2006,, 1176741,892,900,,6,10.1145/1176617.1176741,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248395963&doi=10.1145%2f1176617.1176741&partnerID=40&md5=1e34b761966e1209056bc5114e6680f0,"Department of Computer Science, University of Aarhus, Aabogade 34, DK-8200 Aarhus N, Denmark; Computing Laboratory, University of Kent, Canterbury, Kent CT2 7NF, United Kingdom","Caspersen, M.E., Department of Computer Science, University of Aarhus, Aabogade 34, DK-8200 Aarhus N, Denmark; Kölling, M., Computing Laboratory, University of Kent, Canterbury, Kent CT2 7NF, United Kingdom","Exposing students to the process of programming is merely implied but not explicitly addressed in texts on programming which appear to deal with 'program' as a noun rather than as a verb.We present a set of principles and techniques as well as an informal but systematic process of decomposing a programming problem. Two examples are used to demonstrate the application of process and techniques.The process is a carefully down-scaled version of a full and rich software engineering process particularly suited for novices learning object-oriented programming. In using it, we hope to achieve two things: to help novice programmers learn faster and better while at the same time laying the foundation for a more thorough treatment of the aspects of software engineering.",CS1; Design by contract; Incremental development; Objects-first; Pedagogy; Programming education; Programming process; Refactoring; Representation invariant; Stepwise refinement; Systematic programming; Testing; Top-down design; UML,Problem solving; Process design; Software design; Software testing; Students; Incremental development; Programming education; Programming processes; Representation invariants; Systematic programming; Object oriented programming,CS1;Design by contract;Incremental development;Objects-first;Pedagogy;Programming education;Programming process;Refactoring;Representation invariant;Stepwise refinement;Systematic programming;Testing;Top-down design;UML;Problem solving;Process design;Software design;Software testing;Students;Programming processes;Representation invariants;Object oriented programming,"Caspersen, M.E.; Department of Computer Science, University of Aarhus, Aabogade 34, DK-8200 Aarhus N, Denmark; email: mec@daimi.au.dk",,,,,,,,159593491X; 9781595934918,,,English,Proc Conf Object Orient Program Syst Lang Appl OOPSLA,Conference Paper,Scopus,,2-s2.0-34248395963,,Denmark;United Kingdom,daimi.au.dk,,,"Caspersen M.E., Kolling M."
"Hardt, R., Munson, E.V.",Ant Build Maintenance with Formiga,2013,2013 1ST INTERNATIONAL WORKSHOP ON RELEASE ENGINEERING (RELENG),,,,13,16,4,5,,,"[Hardt, Ryan; Munson, Ethan V.] Univ Wisconsin, Dept EECS, Milwaukee, WI 53201 USA",,"Build maintenance refers to the changes made to the build system as a software project evolves over time and has been shown to impose a significant overhead on overall development costs, in part because changes to source code often require parallel changes in the build system. However, little tool support exists to assist developers with build maintenance, particularly for those changes that must accompany changes to the source code. Formiga is a build maintenance and dependency discovery tool for the Ant build system. Formiga's primary uses are to automate build changes as the source code is updated, to assist in build refactoring, to identify the build dependencies within a software project, and to clarify the dependency differences between different versions of build files. Formiga is implemented as an IDE plugin, which allows it to recognize when project resources are updated and automatically update the build system accordingly. This implementation also allows it to leverage existing metaphors used by developers to maintain source code, thus making it easier to use.",build maintenance; release engineering; Ant,,build maintenance;release engineering;Ant,rrhardt@uwm.edu; munson@uwm.edu,,"345 E 47TH ST, NEW YORK, NY 10017 USA",1st International Workshop on Release Engineering (RELENG),"San Francisco, CA","MAY 20, 2013",IEEE,,978-1-4673-6441-6,,,English,,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000333246300004,2-s2.0-84885969121,United States,uwm.edu,Univ Wisconsin,"Univ Wisconsin, United States","Hardt, Ryan; Munson, Ethan V."
"Arcelli D., Cortellessa V., Trubiani C.",Antipattern-based model refactoring for software performance improvement,2012,QoSA'12 - Proceedings of the 8th International ACM SIGSOFT Conference on the Quality of Software Architectures,,,,33,42,,31,10.1145/2304696.2304704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864066029&doi=10.1145%2f2304696.2304704&partnerID=40&md5=eb7b4a9db365bde4e5d6279cb8036581,"Università degli Studi dell'Aquila, 67100 L'Aquila, Italy","Arcelli, D., Università degli Studi dell'Aquila, 67100 L'Aquila, Italy; Cortellessa, V., Università degli Studi dell'Aquila, 67100 L'Aquila, Italy; Trubiani, C., Università degli Studi dell'Aquila, 67100 L'Aquila, Italy","Identifying and removing the causes of poor performance in software systems are complex problems due to a variety of factors to take into account. Nowadays these problems are usually tackled after the software deployment only with human-based means, which frequently boil down to developer skills and previous experiences. Performance antipatterns can be used to cope with these problems since they capture typical design patterns that are known leading to performance problems, as well as refactoring actions that can be taken to remove them. The goal of this paper is to introduce an approach that allows the refactoring of architectural models, based on antipatterns, that aims at providing performance improvement. To this end, we use a Role-Based Modeling Language to represent: (i) antipattern problems as Source Role Models (SRMs), and (ii) antipattern solutions as Target Role Models (TRMs). Hence, SRM-TRM pairs represent new instruments in the hands of developers to achieve architectural model refactorings aimed at removing sources of performance problems. Model refactoring for antipattern removal can be in fact obtained by replacing an SRM with the corresponding TRM. This approach has been applied to a case study in the e-commerce domain, whose experimental results demonstrate its effectiveness. Copyright © 2012 ACM.",Model refactoring; Performance antipatterns; Roles; Software performance,Anti-patterns; Architectural models; Complex problems; E-commerce domains; New instrument; Performance improvements; Performance problems; Poor performance; Refactorings; Role model; Role-based modeling; Roles; Software deployment; Software performance; Software systems; Typical design,Model refactoring;Performance antipatterns;Roles;Software performance;Anti-patterns;Architectural models;Complex problems;E-commerce domains;New instrument;Performance improvements;Performance problems;Poor performance;Refactorings;Role model;Role-based modeling;Software deployment;Software systems;Typical design,"Arcelli, D.; Università degli Studi dell'Aquila, 67100 L'Aquila, Italy; email: davide.arcelli@univaq.it",,,,,,,,9781450313469,,,English,QoSA - Proc. Int. ACM SIGSOFT Conf. Qual. Softw. Archit.,Conference Paper,Scopus,,2-s2.0-84864066029,,Italy,univaq.it,,,"Arcelli D., Cortellessa V., Trubiani C."
"Ujhelyi, Z., Horvath, A., Varro, D., Csiszar, N.I., Szoke, G., Vidacs, L., Ferenc, R.",Anti-pattern Detection with Model Queries: A Comparison of Approaches,2014,"2014 SOFTWARE EVOLUTION WEEK - IEEE CONFERENCE ON SOFTWARE MAINTENANCE, REENGINEERING, AND REVERSE ENGINEERING (CSMR-WCRE)",,,,293,+,2,4,,,"[Ujhelyi, Zoltan; Horvath, Akos; Varro, Daniel] Budapest Univ Technol & Econ, Dept Measurement & Informat Syst, Budapest, Hungary; [Csiszar, Norbert Istvan; Ferenc, Rudolf] Univ Szeged, Szeged, Hungary; [Vidacs, Laszlo] Hungarian Acad Sci, SZTE Res Grp Artificial Intelligence, H-2011 Budapest, Hungary",,"Program queries play an important role in several software evolution tasks like program comprehension, impact analysis, or the automated identification of anti-patterns for complex refactoring operations. A central artifact of these tasks is the reverse engineered program model built up from the source code (usually an Abstract Semantic Graph, ASG), which is traditionally post-processed by dedicated, hand-coded queries. Our paper investigates the use of the popular industrial Eclipse Modeling Framework (EMF) as an underlying representation of program models processed by three general-purpose model query techniques based on native Java code, local-search and incremental evaluation. We provide in-depth comparison of these techniques on the source code of 17 Java projects using queries taken from refactoring operations in different usage profiles. Our results show that general purpose model queries outperform hand-coded queries by 2-3 orders of magnitude, while there is a 5-10 times increase in memory consumption and model load time. In addition, measurement results of usage profiles can be used as guidelines for selecting the appropriate query technologies in concrete scenarios.",,TRANSFORMATION; TOOL,TRANSFORMATION;TOOL,ujhelyiz@mit.bme.hu; ahorvath@mit.bme.hu; varro@mit.bme.hu; csiszar.norbert.istvan@stud.u-szeged.hu; kancsuki@inf.u-szeged.hu; lac@inf.u-szeged.hu; ferenc@inf.u-szeged.hu,"Demeyer, S; Binkley, D; Ricca, F","345 E 47TH ST, NEW YORK, NY 10017 USA","Software Evolution Week / IEEE Conference on Software Maintenance, Reengineering, and Reverse Engineering (CSMR-WCRE)","Antwerp, BELGIUM","FEB 03-06, 2014",IEEE,,978-1-4799-3752-3,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000349240500030,2-s2.0-84898475693,Hungary,mit.bme.hu,Budapest Univ Technol & Econ;Univ Szeged;Hungarian Acad Sci,"Budapest Univ Technol & Econ, Hungary;Univ Szeged, Hungary;Hungarian Acad Sci, Hungary","Ujhelyi, Zoltan; Horvath, Akos; Varro, Daniel; Csiszar, Norbert Istvan; Szoke, Gabor; Vidacs, Laszlo; Ferenc, Rudolf"
"Erwig, M., Ren, D.L.",An update calculus for expressing type-safe program updates,2007,SCIENCE OF COMPUTER PROGRAMMING,67,2-3,,199,222,24,7,10.1016/j.scico.2007.01.003,,"Oregon State Univ, Sch EECS, Corvallis, OR 97331 USA",,"The dominant share of software development costs is spent on software maintenance, particularly the process of updating programs in response to changing requirements. Currently, such program changes tend to be performed using text editors, an unreliable method that often causes many errors. In addition to syntax and type errors, logical errors can be easily introduced since text editors cannot guarantee that changes are performed consistently over the whole program. All these errors can cause a correct and perfectly running program to become instantly unusable. It is not surprising that this situation exists because the ""text-editor method"" reveals a low-level view of programs that fails to reflect the structure of programs. We address this problem by pursuing a programming-language-based approach to program updates. To this end we discuss in this paper the design and requirements of an update language for expressing update programs. We identify as the essential part of any update language a scope update that performs coordinated update of the definition and all uses of a symbol. As the underlying basis for update languages, we define an update calculus for updating lambda calculus programs. We develop a type system for the update calculus that infers the possible type changes that can be caused by an update program. We demonstrate that type-safe update programs that fulfill certain structural constraints preserve the type correctness of lambda terms. The update calculus can serve as a basis for higher-level update languages, such as for Haskell or Java. (c) 2007 Elsevier B.V. All rights reserved.",program transformation; meta programming; type safety; refactoring; software evolution,EXTENSION,program transformation;meta programming;type safety;refactoring;software evolution;EXTENSION,erwig@eecs.oregonstate.edu,,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,,,ELSEVIER SCIENCE BV,0167-6423,,,,English,SCI COMPUT PROGRAM,Article,WoS,Computer Science,WOS:000248174100003,2-s2.0-34250776589,United States,eecs.oregonstate.edu,Sch EECS,"Sch EECS, United States","Erwig, Martin; Ren, Deling"
